server,osobaid,datum,id,pocetSlov,Sentiment,ethos,pathos,logos,neg,neu,pos,manipulation,populism,topics,entities
Twitter,andrej-babis,02.01.2021 0:00:00,58d23ee476eb7cfc01ab24b30dfdd4de,47,0.6808,0.6,0.4,0.7,0,0.891,0.109,0.3,0.5,"",""
Twitter,andrej-babis,12.03.2020 0:00:00,58d490bf294d70638d4d2194aa315cea,42,-0.8402,0.7,0.3,0.8,0.176,0.824,0,0.2,0.1,"nouzový stav",""
Twitter,andrej-babis,19.09.2020 0:00:00,58d561c0bb07a1667714e97f2eb082b7,40,0.2164,0.8,0.6,0.7,0.118,0.687,0.1955,0.4,0.5,"obrana a bezpečnost;koronavirová krize;vojenská pomoc","NATO"
Facebook,andrej-babis,30.06.2017 0:00:00,58DC9FA53670D9791A1F35C6E0EB8E0C,103,0.9568,0.6,0.7,0.5,0,0.828,0.172,0.3,0.4,"osobní setkání",""
Twitter,andrej-babis,25.08.2020 0:00:00,58dcd52f97d95db8edf908b42da33b73,36,0.7096,0.6,0.3,0.8,0.047,0.782,0.171,0.2,0.1,"administrativa;memorandum",""
Twitter,andrej-babis,09.12.2019 0:00:00,58e0be8ce605ebf00d4097b03235ba0f,43,0.8516,0.5,0.3,0.7,0,0.832,0.168,0.2,0.1,"umělá inteligence;letecký průmysl;jaderná energie;mezinárodní spolupráce","Rekhi"
Twitter,andrej-babis,02.12.2020 0:00:00,58e55b05a635999e26edfce26f455993,19,0,0.6,0.3,0.7,0,1,0,0.2,0.4,"financování sportu;sportovní infrastruktura","ČT"
Twitter,andrej-babis,19.06.2020 0:00:00,58e8e84cc84a0fe28331ebd875576199,39,0.8074,0.5,0.3,0.8,0,0.672,0.328,0.2,0.4,"kompenzační bonus;osvč","OSVČ"
Twitter,andrej-babis,09.06.2020 0:00:00,58e9452b379f29d9896694fc5a8248a4,42,0.6212,0.6,0.5,0.8,0,0.814,0.186,0.3,0.4,"podpora obcí",""
Facebook,andrej-babis,10.06.2020 0:00:00,58ebc4acfbb0e35de245ebe0da2636df,4,0,0.4,0.2,0.3,0,1,0,0.1,0.2,"",""
Twitter,andrej-babis,16.11.2020 0:00:00,58ec6ff782d858318aebc5749e5d6f09,30,0.7096,0.5,0.6,0.4,0,0.84,0.16,0.3,0.4,"péče o seniory",""
Twitter,andrej-babis,03.03.2021 0:00:00,58ec9a80f20fbf44272e17d52a75ac7b,38,0.7357,0.5,0.7,0.6,0,0.869,0.131,0.4,0.6,"bankovní identita;testování",""
Twitter,andrej-babis,19.03.2020 0:00:00,58f0051a68c85fe14626a6abc941ab5c,16,0,0.6,0.2,0.8,0,1,0,0.1,0.1,"roušky",""
Twitter,andrej-babis,28.06.2021 0:00:00,58f7acf4e36fbefcf78b8cd4ced1bbd1,40,0.1779,0.7,0.6,0.8,0.085,0.816,0.099,0.4,0.5,"daňové úlevy",""
Twitter,andrej-babis,05.05.2020 0:00:00,58f88e145a61d1a0b49b501d68a3c1e6,12,0,0.8,0.9,0.7,0,1,0,0.4,0.5,"národní hrdost;společenská soudržnost",""
Twitter,andrej-babis,16.09.2021 0:00:00,58f9a5f04e03ea6a98bafb6392217fa6,26,0.1869,0.5,0.7,0.2,0.056,0.869,0.075,0.4,0.6,"politické vztahy","Klaus;Koukolíka;Zeman"
Twitter,andrej-babis,14.04.2021 0:00:00,58fb261bba39df3587d1c3baa0435003,33,0.3182,0.6,0.3,0.7,0.067,0.818,0.115,0.2,0.4,"","Regionální rady"
Facebook,andrej-babis,09.11.2020 0:00:00,58fcade029c835fb6a4b451a2b6722d6,13,0,0.3,0.6,0.2,0,1,0,0.4,0.5,"zážitky;události",""
Twitter,andrej-babis,20.03.2020 0:00:00,58fd05d8c7314792522ba02f746b28f5,23,0.2263,0.5,0.4,0.7,0.07,0.809,0.121,0.3,0.6,"ošetřovné;nouzový stav","OSVČ"
Twitter,andrej-babis,08.01.2020 0:00:00,5903fca704b0e12aac08d5da234d4eb6,47,0.7096,0.6,0.5,0.7,0,0.912,0.088,0.3,0.4,"","Vědecké knihovny;Červeném kostele"
Twitter,andrej-babis,17.02.2020 0:00:00,5914dc44e4bf2c8cdcf704df3f2c94ba,42,0.4568,0.6,0.4,0.7,0,0.8135,0.1865,0.2,0.3,"","Dementia in Europe"
Facebook,andrej-babis,22.01.2020 0:00:00,5916819a139e2df944663286a0d23c13,7,0.4033,0.7,0.5,0.2,0,0.803,0.197,0.3,0.4,"evropská politika;mezinárodní vztahy","Evropského židovského kongresu;Kantorem"
Facebook,andrej-babis,21.07.2021 0:00:00,591e768ba8f939f18d6387888e09556d,8,0,0.3,0.5,0.2,0,1,0,0.4,0.6,"očkování;brno",""
Facebook,andrej-babis,07.10.2016 0:00:00,591FCEFD191B2B5D1267F8052AACED6B,263,0.9132,0.85,0.9,0.8,0.069,0.825,0.107,0.7,0.6,"politická odpovědnost;volby","Urbánek;ANO;KSČM;ODS;ČSSD"
Facebook,andrej-babis,27.03.2019 0:00:00,592063D8A0EEACEC9E866AF68DDE7E23,13,0,0.4,0.5,0.2,0,1,0,0.1,0.3,"mezinárodní vztahy;diplomacie;česká republika","Bassilem"
Twitter,andrej-babis,26.12.2022 0:00:00,592accef983171d9895e892f8fd6c9e6,42,0.8555,0.5,0.6,0.2,0,0.749,0.251,0.4,0.5,"vánoční svátky;politická kampaň;prezidentské volby","Babiš;Blesk"
Twitter,andrej-babis,28.04.2021 0:00:00,592bcc59ebeebbaa253b11470847e815,29,0,0.5,0.7,0.6,0,1,0,0.4,0.5,"očkování;covid-19",""
Twitter,andrej-babis,25.06.2021 0:00:00,59313bd44656fae7d75af9f73f34ab71,42,0.212,0.7,0.6,0.8,0.094,0.728,0.178,0.4,0.5,"dotace;živelné pohromy;úvěry","Babiš"
Twitter,andrej-babis,09.03.2020 0:00:00,593b92e26e2fdf751ec498170b9f7083,37,-0.5423,0.8,0.2,0.7,0.101,0.899,0,0.1,0.3,"covid-19;bezpečnostní opatření","Celní správa;Hasičského záchranného sboru;Poulíček"
Facebook,andrej-babis,26.08.2019 0:00:00,593EF3783104DB3482717ABEC8B42753,11,-0.296,0.4,0.3,0.2,0.155,0.845,0,0.1,0.2,"mezinárodní vztahy;diplomacie;spolupráce","Blokem"
Facebook,andrej-babis,11.01.2020 0:00:00,59400ecf2a07ec05f492d980a7c7b693,12,-0.296,0.5,0.5,0,0.145,0.855,0,0,0,"ples;pozvání","Zemanovou;ZŠ Chyšky"
Twitter,andrej-babis,12.10.2020 0:00:00,5943c5beeedcab553ea40678b353b4e6,33,0.2732,0.6,0.3,0.8,0.04,0.893,0.067,0.2,0.1,"státní rozpočet;stavební zákon;epidemiologická opatření",""
Twitter,andrej-babis,03.11.2020 0:00:00,59467a2ff2d22f15c0c7a5543cdb7477,32,0.8316,0.7,0.5,0.8,0,0.82,0.18,0.2,0.3,"podpora zdravotníků;pandemie koronaviru",""
Twitter,andrej-babis,26.03.2022 0:00:00,59481d364c864e3ce34add04f375ab7b,32,0.8675,0.6,0.8,0.2,0,0.761,0.239,0.3,0.5,"výstava;setkání s lidmi;zemědělství",""
Twitter,andrej-babis,23.06.2021 0:00:00,5951121d4d84e143bfc3abde8072cae5,45,0.3182,0.4,0.5,0.6,0.035,0.895,0.071,0.3,0.2,"modernizace hotelu","Thermal"
Twitter,andrej-babis,01.04.2020 0:00:00,595b5d7b6c417d2a462bb10f76974c4e,37,0.6771,0.6,0.5,0.7,0.085,0.729,0.186,0.3,0.2,"prodloužení nouzového stavu;epidemie",""
Twitter,andrej-babis,23.06.2020 0:00:00,596242eedd061d1766584582fb615b6c,46,0.6867,0.6,0.4,0.8,0,0.876,0.124,0.3,0.5,"",""
Facebook,andrej-babis,10.11.2019 0:00:00,5966F4CD4DD6792E97298C525F264EBA,237,-0.2964,0.7,0.6,0.8,0.0235,0.9625,0.0145,0.5,0.4,"transparentnost;úspory","Arajma;ÚZSVM;Úřad pro zastupování státu ve věcech majetkových"
Twitter,andrej-babis,28.05.2020 0:00:00,5972c815dad6ae3d89f688a8baabd90b,38,0.6249,0.5,0.7,0.6,0,0.865,0.135,0.4,0.3,"",""
Twitter,andrej-babis,08.01.2021 0:00:00,597802048eeabbfa650210d2ce3396eb,32,0.9201,0.5,0.7,0.3,0,0.703,0.297,0.2,0.4,"",""
Twitter,andrej-babis,02.05.2020 0:00:00,5979499d57c06b047cdd083eeacc8ad8,40,0.4404,0.5,0.3,0.8,0.058,0.825,0.117,0.4,0.2,"jaderná energie;ekonomika","Dukovan;Právu"
Twitter,andrej-babis,11.05.2021 0:00:00,597e1cf9120cde9bec13da005af44bc2,44,0,0.6,0.3,0.7,0,1,0,0.2,0.1,"","NATO"
Facebook,andrej-babis,09.10.2019 0:00:00,598DD734DC421EB63E13B96A665761AB,10,0,0.4,0.3,0.2,0,1,0,0.1,0.2,"vzdělávání;technické obory","Střední průmyslové školy strojnické"
Facebook,andrej-babis,07.01.2020 0:00:00,5991190e7dd69c1521d6d2850fb2d501,5,0.4033,0,0.2,0,0,0.721,0.279,0,0,"",""
Twitter,andrej-babis,28.02.2020 0:00:00,599c8833f45540dc203a1086b0edacd6,23,0,0.7,0.5,0.8,0,1,0,0.2,0.4,"covid-19;zdravotní péče","Státní zdravotní ústav"
Facebook,andrej-babis,14.01.2019 0:00:00,59A3AA2F500C61B9B405FBA0393E09BA,12,0,0.5,0.4,0.2,0,1,0,0.1,0.3,"diplomatické vztahy","Hovorkou"
Twitter,andrej-babis,07.12.2020 0:00:00,59a820aa87ed91f386565980dd86e55e,43,-0.4215,0.6,0.8,0.5,0.048,0.952,0,0.2,0.4,"osobní příběh","CRHA;NON AUTOS"
Facebook,andrej-babis,21.08.2016 0:00:00,59AB24A85624D8EA24ECCA84EDA9C0B3,9,0.659,0.3,0.6,0.2,0,0.646,0.354,0.1,0.4,"kulturní akce","Peláková"
Twitter,andrej-babis,14.05.2020 0:00:00,59aeb130fd275935e86de45a1181c6f8,35,0.6996,0.6,0.5,0.7,0,0.829,0.171,0.4,0.3,"modernizace armády","GŠ AČR"
Twitter,andrej-babis,15.04.2020 0:00:00,59af31b321d5eb3f9c4a203aa242c593,33,-0.34,0.5,0.2,0.7,0.059,0.941,0,0.1,0.3,"",""
Twitter,andrej-babis,01.06.2020 0:00:00,59afd2dae91ef20de049e85ea3a98525,39,0.2057,0.5,0.2,0.8,0,0.959,0.041,0.1,0,"cestování;covid-19 opatření;testování",""
Facebook,andrej-babis,22.10.2020 0:00:00,59b0c8ee461800f2e1f871e91ebf2372,9,0,0.6,0.5,0.3,0,1,0,0.2,0.1,"videohovory;evropská komise;ursula von der leyen","Evropská komise;von der Leyen"
Twitter,andrej-babis,14.05.2021 0:00:00,59b40c198c8b9d0bdeee32f1a09ce536,37,0,0.7,0.5,0.6,0,1,0,0.2,0.3,"",""
Twitter,andrej-babis,26.05.2020 0:00:00,59bbd4282f60daa08355e54aa64ab9db,46,0.7007,0.5,0.3,0.7,0,0.8065,0.1935,0.2,0.4,"kompenzační bonus",""
Twitter,andrej-babis,18.01.2021 0:00:00,59bf2ccad60cd8e6137c24d9d31bc962,14,0.5106,0.3,0.4,0.2,0,0.784,0.216,0.1,0.2,"krizové situace",""
Facebook,andrej-babis,17.03.2021 0:00:00,59c7126b963f559f1a0814899e40fb3b,14,0.2023,0.4,0.5,0.3,0,0.893,0.107,0.6,0.5,"mezinárodní spolupráce",""
Twitter,andrej-babis,15.10.2021 0:00:00,59cd19ef471b3cd36ab6e429403fada0,35,-0.9464,0.7,0.9,0.6,0.292,0.708,0,0.2,0.1,"","Amesse"
Twitter,andrej-babis,12.11.2019 0:00:00,59ce0360a9d770dac5521779401b8df7,45,-0.4939,0.5,0.4,0.6,0.075,0.925,0,0.3,0.2,"kompenzace",""
Twitter,andrej-babis,30.07.2020 0:00:00,59d2055e70a227c5725f25773df9e57f,39,-0.6249,0.5,0.4,0.7,0.082,0.918,0,0.3,0.6,"snížení dph;silniční daň","Úřad vlády"
Facebook,andrej-babis,21.06.2016 0:00:00,59d22db7e4575e20e599d630e7265856,30,0.2565,0.6,0.8,0.2,0.073,0.806,0.121,0.7,0.5,"volby;opozice;demokracie",""
Twitter,andrej-babis,05.02.2020 0:00:00,59e71b4efee0ff54d90a6cdb088fc6cb,44,0.3182,0.7,0.5,0.8,0,0.951,0.049,0.2,0.3,"elektromobilita;vodíkové technologie;energetický mix;uhlíková neutralita","Altmeierem;OZE"
Twitter,andrej-babis,11.11.2019 0:00:00,59e7bb5c6fb6782929349d725689257b,43,0.3818,0.6,0.3,0.8,0,0.953,0.047,0.2,0.1,"elektromobilita","InoBat;ČEZ"
Twitter,andrej-babis,29.12.2020 0:00:00,59e86d12ad0cfb6760795ded10ef3914,39,0,0.7,0.6,0.8,0,1,0,0.4,0.5,"financování sportu","Regionální sportovní infrastruktura"
Facebook,andrej-babis,24.03.2017 0:00:00,59F4E5F9512BCD8DD2CFEB085DC625FA,54,0.4118,0.4,0.6,0.5,0.068,0.824,0.109,0.3,0.5,"","Drábek"
Twitter,andrej-babis,04.03.2020 0:00:00,59f51d9f2de84fe4bbd7f20659d25191,36,0.7777,0.6,0.3,0.8,0,0.805,0.195,0.2,0.1,"testování na koronavirus;negativní výsledky;veřejné zdraví",""
Twitter,andrej-babis,08.09.2020 0:00:00,59f59c982028563d98c7af065ce67263,39,0.5574,0.7,0.5,0.8,0.054,0.824,0.123,0.4,0.6,"",""
Facebook,andrej-babis,10.06.2021 0:00:00,59f63304bbbe93ccffd5bc264ac93b48,13,-0.2263,0.4,0.5,0.7,0.091,0.909,0,0.3,0.6,"",""
Twitter,andrej-babis,11.02.2020 0:00:00,5a0376baa15f5cdc91c8d84639015f86,23,0,0.6,0.5,0.7,0,1,0,0.4,0.3,"finanční správa;legislativa","Finanční správu"
Twitter,andrej-babis,18.01.2021 0:00:00,5a0d1b01b4e59d2c7d8c85a4cff46d0a,34,0.3041,0.5,0.6,0.4,0,0.942,0.058,0.3,0.2,"transplantace orgánů;vojenské operace",""
Twitter,andrej-babis,31.12.2020 0:00:00,5a0e0a467f0e6e3841de4c14be550124,42,0.2263,0.7,0.5,0.6,0,0.952,0.048,0.4,0.5,"očkování;efektivita zdravotní péče","Merkel a"
Twitter,andrej-babis,05.05.2020 0:00:00,5a0ec587f3ec9ed7f31f713b8da2da2c,23,0.6369,0.5,0.6,0.4,0,0.856,0.144,0.7,0.5,"covid-19;mezinárodní spolupráce","Wall Street Journal"
Twitter,andrej-babis,08.09.2020 0:00:00,5a11a37193cb39b1e45d95f68197fdb2,30,0.845,0.5,0.8,0.2,0.051,0.733,0.216,0.3,0.6,"","Madetě"
Twitter,andrej-babis,05.02.2020 0:00:00,5a12d00e07c983e1a74afb5dd44ff5ca,20,0.3182,0.6,0.4,0.7,0,0.909,0.091,0.3,0.5,"digitální daň;nerovná soutěž;podnikatelé",""
Facebook,andrej-babis,20.11.2016 0:00:00,5a13ba4efabd24cfd62c643d9c1523ea,32,0.0531,0.3,0.5,0.2,0.057,0.881,0.062,0.4,0.6,"daně;důchodci;úřad vlády","Michl;Úřad vlády"
Twitter,andrej-babis,30.07.2020 0:00:00,5a1b3ebfd725ac99bc0b2493e0d93740,43,-0.3182,0.6,0.4,0.7,0.081,0.864,0.055,0.2,0.3,"koronavirová krize;aktuální situace",""
Twitter,andrej-babis,09.04.2021 0:00:00,5a1b3f3cadb5729b8d472aa50f5ecb87,31,0,0.5,0.3,0.7,0,1,0,0.2,0.4,"očkování;zdravotní péče;spolupráce;národní očkovací centrum","IZS;O 2 universum"
Facebook,andrej-babis,16.07.2021 0:00:00,5a1c08cc09015aa2dbf19beb8ab0dbfe,51,0.7558,0.3,0.5,0.2,0.057,0.77,0.174,0.4,0.6,"sdílení informací;publikace knihy",""
Facebook,andrej-babis,19.03.2017 0:00:00,5A1D992CA33A8135F7C6620BB96C5065,16,0.8442,0,0.8,0,0,0.616,0.384,0,0,"ples",""
Facebook,andrej-babis,09.04.2019 0:00:00,5a257c156ea3a28ceb4454b6d1937628,5,0.5106,0,0.5,0,0,0.699,0.301,0,0,"fotografie;sebevyjádření",""
Facebook,andrej-babis,17.06.2017 0:00:00,5A2D7A613185ED86425B875240C98369,188,0.104,0.8,0.6,0.7,0.0412,0.8778,0.081,0.4,0.5,"sociální politika;podpora rodin","Dudová"
Twitter,andrej-babis,08.01.2020 0:00:00,5a309f5aeb60adc6b3c3e14ffcc540bc,39,0.7269,0.6,0.3,0.8,0.071,0.765,0.164,0.2,0.1,"preventivní opatření;legislativa",""
Facebook,andrej-babis,06.02.2020 0:00:00,5a3167e842c07342f2475119e9e8d1f4,8,0.4019,0,0.5,0,0.146,0.596,0.258,0,0,"bratislava;krásný den",""
Twitter,andrej-babis,22.09.2020 0:00:00,5a321c5c56f2e3d3edbedced7ee2503d,48,0.9153,0.7,0.4,0.6,0.042,0.694,0.265,0.2,0.3,"podpora kolegů","Prymulovi"
Twitter,andrej-babis,09.12.2019 0:00:00,5a37b3e22f86f1bda4fe1c9a576511e8,38,-0.128,0.5,0.2,0.8,0.061,0.889,0.05,0.1,0.3,"zvýšení minimální mzdy","Strakově akademii"
Twitter,andrej-babis,06.02.2020 0:00:00,5a383f51a31812d9b7609d5d16d8fd17,21,0.3182,0.5,0.3,0.4,0,0.929,0.071,0.2,0.1,"eet;konference;stavebnictví",""
Facebook,andrej-babis,04.01.2021 0:00:00,5a3b21add283a9a108de2ad7501631e7,26,0,0.5,0.4,0.6,0,1,0,0.3,0.7,"daňový balíček;snížení daní;nový rok",""
Facebook,andrej-babis,10.07.2019 0:00:00,5A3FC9DDACD46AAA71A06413CEE9A5F8,15,0,0.4,0.3,0.2,0,1,0,0.1,0.2,"egypt;diplomatické vztahy",""
Twitter,andrej-babis,17.03.2021 0:00:00,5a4e021ef5a25e7fc061de0b78b7597e,22,0.9217,0.5,0.6,0.7,0.067,0.512,0.421,0.4,0.3,"","Vojenském zpravodajství"
Facebook,andrej-babis,29.11.2021 0:00:00,5a4e6688a07f79584e261da0e2969755,35,-0.2384,0.5,0,1,0.032,0.968,0,0,0,"ekonomický růst;životní úroveň","EU"
Twitter,andrej-babis,29.12.2020 0:00:00,5a5d3b1cb1cb3793979b628380041b0e,47,0,0.5,0.2,0.8,0,1,0,0.3,0.4,"daňový balíček;snížení daně z příjmů;zrušení superhrubé mzdy;stravenkový paušál",""
Twitter,andrej-babis,30.09.2020 0:00:00,5a6289c96b587ca00d9ee82443fb1c6c,30,-0.7512,0.6,0.8,0.7,0.207,0.726,0.067,0.4,0.5,"prevence rakoviny",""
Twitter,andrej-babis,29.02.2020 0:00:00,5a6c7d851de963f1bbe34e0ae6a0b01d,17,0.8316,0.4,0.6,0.2,0,0.645,0.355,0.3,0.5,"hudba;covid-19;boj proti pandemii",""
Facebook,andrej-babis,06.07.2017 0:00:00,5A743CAC529D22AA19AACA68ED6FA76B,462,0.9888,0.7,0.6,0.4,0.058,0.819,0.123,0.3,0.5,"záchranné složky","Finlandia;Vildumetzova;Vildumetzová;Macron;Makron;Thurman"
Twitter,andrej-babis,15.03.2020 0:00:00,5a784b09eb88fcbc1758e0e1a9324e84,39,-0.0193,0.5,0.3,0.8,0.025,0.952,0.023,0.2,0.1,"vládní opatření;covid-19",""
Facebook,andrej-babis,07.02.2017 0:00:00,5A81333BBD550E046D944953E4E6028A,61,-0.148,0.4,0.5,0.3,0.09,0.91,0,0.2,0.3,"podnikání;mladá generace","Cortés;Cortésem;Grossmanna;Šimka"
Twitter,andrej-babis,14.12.2020 0:00:00,5a845a360ff0d26c57649004a3e26b22,42,0,0.6,0.5,0.7,0,1,0,0.2,0.3,"","SŠ;VOŠ;ZUŠ;ZŠ"
Twitter,andrej-babis,24.04.2020 0:00:00,5a8a6ae065c7e35f83cbb189725f7502,32,0.9336,0.6,0.3,0.8,0,0.658,0.342,0.2,0.4,"covid-19;testování;mimořádná opatření",""
Twitter,andrej-babis,31.12.2020 0:00:00,5a943e688c079a5662d5297982fe1d1f,37,0.8126,0.6,0.3,0.8,0.044,0.745,0.211,0.2,0.4,"státní dluhopisy;daňové osvobození",""
Twitter,andrej-babis,28.11.2019 0:00:00,5a9492838cc906355d0a012a09ddfab6,42,0.8148,0.6,0.5,0.8,0.023,0.816,0.161,0.3,0.4,"důchodové zabezpečení",""
Twitter,andrej-babis,09.12.2020 0:00:00,5a9cc79aa40739a94acfeae301a7594a,28,0.4404,0.5,0.6,0.3,0,0.881,0.119,0.2,0.4,"vědecký výzkum","EU;Evropské výzkumné rady"
Twitter,andrej-babis,01.06.2020 0:00:00,5aa467df01632bfe8178f241296fa4e0,34,-0.0772,0.5,0.3,0.8,0.049,0.909,0.042,0.2,0.4,"",""
Twitter,andrej-babis,28.06.2021 0:00:00,5aa9b1f76204b11dfc61a07115f68682,41,0.6597,0.6,0.5,0.7,0.056,0.792,0.151,0.3,0.2,"mimořádné události",""
Facebook,andrej-babis,02.05.2021 0:00:00,5ab846d7eb7c0af55c8844acafe649fd,31,0.1986,0.4,0.5,0.6,0.053,0.85,0.097,0.3,0.5,"očkování;rozvolnění;školství;sport;kultura",""
Facebook,andrej-babis,29.01.2018 0:00:00,5ABED8D91B6649CCA0552F7FA8EDC319,67,0.9609,0.5,0.7,0.3,0,0.766,0.234,0.4,0.6,"","Evropská rada;Orbán;V 4"
Twitter,andrej-babis,23.09.2019 0:00:00,5ac171866aaf6711c91b617cd468527b,45,0.8658,0.6,0.4,0.7,0,0.792,0.208,0.3,0.2,"podpora podnikání","CzechAccelerator;Czechinvest"
Facebook,andrej-babis,09.02.2020 0:00:00,5acdbdee04492745f6aa4a8a68928817,93,0.4579,0.7,0.5,0.8,0,0.7157,0.2843,0.3,0.2,"koordinace krizového řízení;spolupráce mezi institucemi;informační servis;bezpečnostní opatření","Havlíček;Havlíček;Správa železnic;ČEPS;ČEZ;Ředitelství silnic a dálnic;Řízení letového provozu"
Twitter,andrej-babis,01.10.2019 0:00:00,5ad06d128d8201840629cfb2c1e0c488,35,0.25,0.6,0.2,0.7,0,0.952,0.048,0.1,0.1,"mezinárodní konference;česká republika",""
Twitter,andrej-babis,20.09.2021 0:00:00,5ad179c65a4f90fc8886634307faade6,39,0.5023,0.6,0.5,0.7,0,0.927,0.073,0.4,0.3,"","U Apolináře"
Twitter,andrej-babis,25.08.2020 0:00:00,5ae0a4e05b59746dec2c612ba973ed06,43,0.0387,0.6,0.5,0.8,0,0.974,0.026,0.2,0.1,"",""
Twitter,andrej-babis,31.12.2020 0:00:00,5ae28e3ca64ca7361b9cba1bea97cab6,27,0,0.4,0.5,0.2,0,0,0,0.1,0.3,"hudba;pandemie;inspirace",""
Twitter,andrej-babis,15.03.2021 0:00:00,5ae8a51d872ac3512b785946d6d7e6f8,39,0,0.5,0.3,0.7,0,1,0,0.2,0.1,"",""
Twitter,andrej-babis,25.07.2021 0:00:00,5af19bb469b8ea20502480fd8432c140,42,0.2929,0.6,0.5,0.4,0,0.9595,0.0405,0.7,0.8,"","Babiš"
Twitter,andrej-babis,12.06.2020 0:00:00,5af5daab01ef7c2ab3b7417199eaea6e,44,0.8567,0.6,0.5,0.7,0.028,0.84,0.131,0.4,0.3,"","EU"
Twitter,andrej-babis,05.01.2021 0:00:00,5b00cce0cf7ce63f8aa8dccbe1af8b3f,22,0.5423,0.5,0.3,0.8,0,0.844,0.156,0.2,0.4,"kompenzační bonus;podnikatelé;finanční podpora",""
Facebook,andrej-babis,27.09.2019 0:00:00,5B02702FC6F4B371E85D3F2ED992679C,15,0.7845,0.5,0.7,0.3,0.127,0.423,0.451,0.2,0.4,"společenská odpovědnost","Roca"
Twitter,andrej-babis,16.10.2019 0:00:00,5b0bacecab6aeeef889bb2765189417b,41,0.1531,0.6,0.5,0.7,0.054,0.86,0.086,0.4,0.3,"investice do zdravotnictví;urgentní příjem","Bulovka"
Twitter,andrej-babis,21.08.2020 0:00:00,5b107647f06108b9a53fa4c4b5b42a14,43,0.6249,0.5,0.7,0.6,0,0.92,0.08,0.4,0.6,"zahrádkářský zákon;covid-19;společenská akce",""
Facebook,andrej-babis,08.12.2020 0:00:00,5b151b36e27140b36328df25a8dc794d,31,0.3337,0.4,0.5,0.6,0.085,0.804,0.111,0.7,0.3,"vánoční dárky;finanční investice;dluhopisy",""
Twitter,andrej-babis,29.07.2020 0:00:00,5b16272883bc4caaee941aa3b5212a07,8,0.7906,0.4,0.2,0.5,0,0.562,0.438,0.1,0,"doporučení;spolupráce",""
Twitter,andrej-babis,07.06.2020 0:00:00,5b19d35e31d14a236f509b585abdd5c3,43,0.807,0.6,0.5,0.7,0.03,0.781,0.189,0.4,0.8,"financování obcí;daně;dotace;investice;vláda",""
Facebook,andrej-babis,11.10.2017 0:00:00,5B1D5AD26591BA9E33B518DE8970E422,9,0.3612,0.5,0.8,0.2,0,0.8,0.2,0.3,0.6,"společenská akce",""
Facebook,andrej-babis,21.08.2016 0:00:00,5B26913BDF0F14EA6F365FFC74E93E4E,5,0,0.5,0.6,0.2,0,1,0,0.1,0.4,"motorsport","Rossi"
Twitter,andrej-babis,08.12.2020 0:00:00,5b29ec24c26de7583e14600e2413807c,34,0.7501,0.7,0.6,0.8,0.051,0.748,0.201,0.4,0.3,"vakcinace;epidemie;ochrana zdraví",""
Twitter,andrej-babis,17.04.2020 0:00:00,5b2d4d7d04792395c41617a0466b539f,15,0.5267,0.6,0.5,0.8,0,0.804,0.196,0.3,0.4,"",""
Facebook,andrej-babis,23.01.2020 0:00:00,5b346b4d051bfe3d02f5f2cf9ca6b8d4,6,0.4033,0,0,0,0,0.769,0.231,0,0,"cestování;pozdrav",""
Twitter,andrej-babis,21.08.2020 0:00:00,5b35f06fb7b1c917f588f9d06dbfff16,34,0,0.6,0.5,0.7,0,1,0,0.3,0.4,"solidarita;mezinárodní spolupráce;vědecký výzkum","Babiš"
Twitter,andrej-babis,19.04.2020 0:00:00,5b3cc88598014413c2a81cf1e6d12057,26,0.2406,0.5,0.3,0.7,0.045,0.886,0.068,0.4,0.6,"daňové úlevy","Ministerstvo financí"
Twitter,andrej-babis,25.06.2021 0:00:00,5b410c6372ce2cb18a9fc6ca17e3e013,33,0.5574,0.7,0.6,0.8,0.049,0.793,0.159,0.2,0.4,"podpora podnikatelům;daňové úlevy",""
Twitter,andrej-babis,23.07.2020 0:00:00,5b41350b4dbe2706424855f1088b2349,30,0.4215,0.5,0.2,0.8,0,0.92,0.08,0.3,0.4,"rozvoj infrastruktury","Ministerstvo životního prostředí;Starkoč"
Facebook,andrej-babis,13.10.2019 0:00:00,5b42a982812a2c1c548c08512f1983a2,40,0.5574,0.6,0.3,0.8,0,0.892,0.108,0.2,0.4,"rozvoj infrastruktury","IROP;Ministerstvo pro místní rozvoj"
Twitter,andrej-babis,24.04.2020 0:00:00,5b43dac8a168381e64cc4b977d66f770,46,0.3185,0.7,0.3,0.8,0,0.9215,0.0785,0.2,0.4,"podpora ekonomiky","MSP"
Twitter,andrej-babis,03.04.2020 0:00:00,5b46f748c3777a57a8b27239751764fa,47,-0.247,0.4,0.5,0.8,0.151,0.764,0.085,0.3,0.2,"epidemie covid-19;testování;úmrtí",""
Twitter,andrej-babis,03.10.2020 0:00:00,5b470226514f00bb7a36093cb0a774f3,38,-0.5514,0.5,0.2,0.8,0.072,0.928,0,0.3,0.1,"preventivní opatření;epidemiologická situace",""
Twitter,andrej-babis,01.01.2020 0:00:00,5b511bad81b8b36966df614b9596e783,22,0.9216,0.5,0.8,0.2,0,0.635,0.365,0.1,0.3,"novoroční projev;zdraví",""
Facebook,andrej-babis,08.01.2020 0:00:00,5b53773aa955c9fb3c9c742f0bfd22ca,6,0.4033,0,0.2,0,0,0.747,0.253,0,0,"architektura;historie;místní kultura",""
